,0,1,2,3,4,5,6,7,8,9,10,11,12,13
0,28.0,19.0,,,,,,,,,,,,
1,27.0,18.0,32.0,28.0,,,,,,,,,,
2,28.0,19.0,34.0,35.0,36.0,18.0,,,,,,,,
3,34.0,35.0,28.0,19.0,30.0,40.0,36.0,18.0,,,,,,
4,36.0,18.0,35.0,45.0,28.0,25.0,27.0,18.0,30.0,40.0,,,,
5,30.0,40.0,41.0,50.0,34.0,35.0,28.0,26.0,27.0,18.0,36.0,18.0,,
6,41.0,50.0,27.0,18.0,28.0,26.0,36.0,18.0,6.0,17.0,30.0,40.0,34.0,35.0
7,33.0,27.0,,,,,,,,,,,,
8,33.0,27.0,27.0,18.0,,,,,,,,,,
9,35.0,45.0,33.0,27.0,27.0,18.0,,,,,,,,
10,28.0,25.0,30.0,40.0,25.0,17.0,36.0,19.0,,,,,,
11,36.0,19.0,25.0,17.0,35.0,45.0,30.0,40.0,27.0,25.0,,,,
12,6.0,17.0,25.0,17.0,30.0,40.0,27.0,25.0,36.0,19.0,35.0,45.0,,
13,37.0,26.0,30.0,40.0,25.0,17.0,27.0,24.0,6.0,17.0,35.0,45.0,36.0,17.0
14,33.0,27.0,,,,,,,,,,,,
15,33.0,27.0,27.0,18.0,,,,,,,,,,
16,33.0,27.0,27.0,18.0,35.0,45.0,,,,,,,,
17,38.0,25.0,25.0,17.0,28.0,25.0,30.0,40.0,,,,,,
18,28.0,25.0,35.0,45.0,29.0,41.0,25.0,17.0,38.0,25.0,,,,
19,35.0,45.0,30.0,40.0,36.0,17.0,28.0,25.0,38.0,25.0,25.0,17.0,,
20,6.0,17.0,30.0,40.0,38.0,25.0,28.0,25.0,35.0,45.0,25.0,17.0,36.0,17.0
21,33.0,27.0,,,,,,,,,,,,
22,28.0,19.0,38.0,25.0,,,,,,,,,,
23,34.0,35.0,28.0,19.0,38.0,25.0,,,,,,,,
24,28.0,19.0,38.0,25.0,34.0,35.0,30.0,40.0,,,,,,
25,35.0,35.0,36.0,17.0,30.0,40.0,27.0,18.0,37.0,26.0,,,,
26,37.0,26.0,25.0,17.0,30.0,40.0,27.0,24.0,35.0,45.0,36.0,17.0,,
27,28.0,25.0,6.0,17.0,30.0,40.0,38.0,25.0,36.0,17.0,25.0,17.0,35.0,45.0
28,37.0,24.0,,,,,,,,,,,,
29,28.0,19.0,38.0,25.0,,,,,,,,,,
30,34.0,35.0,38.0,25.0,28.0,19.0,,,,,,,,
31,38.0,25.0,28.0,19.0,30.0,40.0,34.0,35.0,,,,,,
32,36.0,17.0,35.0,35.0,30.0,40.0,37.0,26.0,27.0,18.0,,,,
33,38.0,25.0,25.0,17.0,35.0,45.0,30.0,40.0,28.0,25.0,36.0,19.0,,
34,28.0,25.0,36.0,19.0,34.0,35.0,30.0,40.0,25.0,17.0,38.0,25.0,41.0,50.0
35,37.0,24.0,,,,,,,,,,,,
36,28.0,19.0,38.0,25.0,,,,,,,,,,
37,34.0,35.0,38.0,25.0,28.0,19.0,,,,,,,,
38,37.0,26.0,27.0,18.0,34.0,35.0,36.0,17.0,,,,,,
39,37.0,20.0,38.0,25.0,27.0,18.0,30.0,40.0,35.0,35.0,,,,
40,30.0,40.0,35.0,35.0,37.0,20.0,38.0,25.0,42.0,49.0,27.0,18.0,,
41,36.0,19.0,38.0,25.0,6.0,17.0,25.0,17.0,30.0,40.0,28.0,25.0,35.0,45.0
42,37.0,24.0,,,,,,,,,,,,
43,37.0,24.0,27.0,19.0,,,,,,,,,,
44,34.0,35.0,38.0,25.0,28.0,19.0,,,,,,,,
45,25.0,17.0,38.0,25.0,31.0,27.0,35.0,45.0,,,,,,
46,30.0,40.0,36.0,20.0,27.0,18.0,37.0,26.0,35.0,35.0,,,,
47,36.0,19.0,25.0,17.0,38.0,25.0,30.0,40.0,35.0,45.0,28.0,25.0,,
48,25.0,17.0,28.0,25.0,35.0,45.0,38.0,25.0,30.0,40.0,36.0,19.0,6.0,17.0
